,t-3,t-2,t-1,t
0,336000,1072000,808000,287000
1,1072000,808000,287000,553000
2,808000,287000,553000,979000
3,287000,553000,979000,534000
4,553000,979000,534000,168000
5,979000,534000,168000,282000
6,534000,168000,282000,656000
7,168000,282000,656000,452000
8,282000,656000,452000,598000
9,656000,452000,598000,521000
10,452000,598000,521000,730000
11,598000,521000,730000,556000
12,521000,730000,556000,327000
13,730000,556000,327000,378000
14,556000,327000,378000,376000
15,327000,378000,376000,433000
16,378000,376000,433000,452000
17,376000,433000,452000,517000
18,433000,452000,517000,120000
19,452000,517000,120000,98000
20,517000,120000,98000,782000
21,120000,98000,782000,302000
22,98000,782000,302000,191000
23,782000,302000,191000,84000
24,302000,191000,84000,184000
25,191000,84000,184000,173000
26,84000,184000,173000,62000
27,184000,173000,62000,157000
28,173000,62000,157000,138000
29,62000,157000,138000,161000
30,157000,138000,161000,165000
31,138000,161000,165000,98000
32,161000,165000,98000,265000
33,165000,98000,265000,356000
34,98000,265000,356000,188000
35,265000,356000,188000,222000
36,356000,188000,222000,194000
37,188000,222000,194000,106000
38,222000,194000,106000,69000
39,194000,106000,69000,104000
40,106000,69000,104000,113000
41,69000,104000,113000,88000
42,104000,113000,88000,25000
43,113000,88000,25000,94000
44,88000,25000,94000,90000
45,25000,94000,90000,245000
46,94000,90000,245000,361000
47,90000,245000,361000,35000
48,245000,361000,35000,34000
49,361000,35000,34000,14000
50,35000,34000,14000,130000
51,34000,14000,130000,23000
52,14000,130000,23000,96000
53,130000,23000,96000,155000
54,23000,96000,155000,278000
55,96000,155000,278000,117000
56,155000,278000,117000,70000
57,278000,117000,70000,89000
58,117000,70000,89000,83000
59,70000,89000,83000,113000
60,89000,83000,113000,39000
61,83000,113000,39000,80000
62,113000,39000,80000,167000
63,39000,80000,167000,122000
64,80000,167000,122000,178000
65,167000,122000,178000,30000
66,122000,178000,30000,96000
67,178000,30000,96000,185000
68,30000,96000,185000,144000
69,96000,185000,144000,225000
70,185000,144000,225000,480000
71,144000,225000,480000,71000
72,225000,480000,71000,221000
73,480000,71000,221000,192000
74,71000,221000,192000,173000
75,221000,192000,173000,332000
76,192000,173000,332000,301000
77,173000,332000,301000,338000
78,332000,301000,338000,297000
79,301000,338000,297000,273000
80,338000,297000,273000,388000
81,297000,273000,388000,448000
82,273000,388000,448000,303000
83,388000,448000,303000,244000
84,448000,303000,244000,223000
85,303000,244000,223000,333000
86,244000,223000,333000,196000
87,223000,333000,196000,71000
88,333000,196000,71000,169000
89,196000,71000,169000,50000
90,71000,169000,50000,147000
91,169000,50000,147000,160000
92,50000,147000,160000,424000
93,147000,160000,424000,280000
94,160000,424000,280000,213000
95,424000,280000,213000,198000
96,280000,213000,198000,78000
97,213000,198000,78000,171000
98,198000,78000,171000,109000
99,78000,171000,109000,157000
100,171000,109000,157000,115000
101,109000,157000,115000,131000
102,157000,115000,131000,538000
103,115000,131000,538000,145000
104,131000,538000,145000,357000
105,538000,145000,357000,96000
106,145000,357000,96000,224000
107,357000,96000,224000,282000
108,96000,224000,282000,327000
109,224000,282000,327000,517000
110,282000,327000,517000,624000
111,327000,517000,624000,488000
112,517000,624000,488000,247000
113,624000,488000,247000,67000
114,488000,247000,67000,113000
115,247000,67000,113000,108000
116,67000,113000,108000,33000
117,113000,108000,33000,2600000
118,108000,33000,2600000,2032000
119,33000,2600000,2032000,1659900
120,2600000,2032000,1659900,3473400
121,2032000,1659900,3473400,1579300
122,1659900,3473400,1579300,1289900
123,3473400,1579300,1289900,1314000
124,1579300,1289900,1314000,1222000
125,1289900,1314000,1222000,956100
126,1314000,1222000,956100,940800
127,1222000,956100,940800,273800
128,956100,940800,273800,675500
129,940800,273800,675500,1095100
130,273800,675500,1095100,2896500
131,675500,1095100,2896500,3483500
132,1095100,2896500,3483500,2298000
133,2896500,3483500,2298000,1991200
134,3483500,2298000,1991200,2805600
135,2298000,1991200,2805600,7500800
136,1991200,2805600,7500800,5147600
137,2805600,7500800,5147600,4600200
138,7500800,5147600,4600200,2699500
139,5147600,4600200,2699500,1133500
140,4600200,2699500,1133500,814200
141,2699500,1133500,814200,619900
142,1133500,814200,619900,2500600
143,814200,619900,2500600,1286700
144,619900,2500600,1286700,997000
145,2500600,1286700,997000,510500
146,1286700,997000,510500,571700
147,997000,510500,571700,1059300
148,510500,571700,1059300,681600
149,571700,1059300,681600,691000
150,1059300,681600,691000,574800
151,681600,691000,574800,690800
152,691000,574800,690800,499100
153,574800,690800,499100,1630200
154,690800,499100,1630200,1015500
155,499100,1630200,1015500,558400
156,1630200,1015500,558400,1706800
157,1015500,558400,1706800,841300
158,558400,1706800,841300,303200
159,1706800,841300,303200,547400
160,841300,303200,547400,388500
161,303200,547400,388500,615500
162,547400,388500,615500,1264300
163,388500,615500,1264300,591900
164,615500,1264300,591900,568200
165,1264300,591900,568200,632100
166,591900,568200,632100,215600
167,568200,632100,215600,318000
168,632100,215600,318000,441500
169,215600,318000,441500,375700
170,318000,441500,375700,335700
171,441500,375700,335700,444600
172,375700,335700,444600,245900
173,335700,444600,245900,227900
174,444600,245900,227900,321400
175,245900,227900,321400,365600
176,227900,321400,365600,311600
177,321400,365600,311600,174800
178,365600,311600,174800,285600
179,311600,174800,285600,420700
180,174800,285600,420700,377700
181,285600,420700,377700,102200
182,420700,377700,102200,169600
183,377700,102200,169600,489800
184,102200,169600,489800,249000
185,169600,489800,249000,131200
186,489800,249000,131200,147100
187,249000,131200,147100,136200
188,131200,147100,136200,657800
189,147100,136200,657800,388100
190,136200,657800,388100,202600
191,657800,388100,202600,221000
192,388100,202600,221000,681500
193,202600,221000,681500,203200
194,221000,681500,203200,161500
195,681500,203200,161500,253600
196,203200,161500,253600,142700
197,161500,253600,142700,274500
198,253600,142700,274500,564400
199,142700,274500,564400,720300
200,274500,564400,720300,440300
201,564400,720300,440300,307400
202,720300,440300,307400,609600
203,440300,307400,609600,196200
204,307400,609600,196200,243900
205,609600,196200,243900,161000
206,196200,243900,161000,427000
207,243900,161000,427000,282800
208,161000,427000,282800,456100
209,427000,282800,456100,161900
210,282800,456100,161900,160800
211,456100,161900,160800,271000
212,161900,160800,271000,470100
213,160800,271000,470100,1369600
214,271000,470100,1369600,829400
215,470100,1369600,829400,337000
216,1369600,829400,337000,324800
217,829400,337000,324800,273300
218,337000,324800,273300,223700
219,324800,273300,223700,215200
220,273300,223700,215200,148400
221,223700,215200,148400,212800
222,215200,148400,212800,266500
223,148400,212800,266500,230900
224,212800,266500,230900,254300
225,266500,230900,254300,165500
226,230900,254300,165500,169700
227,254300,165500,169700,151200
228,165500,169700,151200,97100
229,169700,151200,97100,102600
230,151200,97100,102600,104000
231,97100,102600,104000,189400
232,102600,104000,189400,286700
233,104000,189400,286700,413600
234,189400,286700,413600,461800
235,286700,413600,461800,881700
236,413600,461800,881700,791100
237,461800,881700,791100,1459300
238,881700,791100,1459300,977400
239,791100,1459300,977400,233800
240,1459300,977400,233800,307000
241,977400,233800,307000,620400
242,233800,307000,620400,699400
243,307000,620400,699400,469000
244,620400,699400,469000,96000
